[Log Created at 2022-05-14 14:14:56]
Epoch[12/20] Iter[450/696] : train_loss 0.01870
Epoch[12/20] Iter[500/696] : train_loss 0.01872
Epoch[12/20] Iter[550/696] : train_loss 0.01873
Epoch[12/20] Iter[600/696] : train_loss 0.01875
Epoch[12/20] Iter[650/696] : train_loss 0.01879
== Epoch [12/20]: train_loss 0.01881, val_loss 0.02779, val_f1 0.47407 
Epoch[13/20] Iter[50/696] : train_loss 0.01788
Epoch[13/20] Iter[100/696] : train_loss 0.01855
Epoch[13/20] Iter[150/696] : train_loss 0.01811
Epoch[13/20] Iter[200/696] : train_loss 0.01837
Epoch[13/20] Iter[250/696] : train_loss 0.01831
Epoch[13/20] Iter[300/696] : train_loss 0.01817
Epoch[13/20] Iter[350/696] : train_loss 0.01816
Epoch[13/20] Iter[400/696] : train_loss 0.01819
Epoch[13/20] Iter[450/696] : train_loss 0.01822
Epoch[13/20] Iter[500/696] : train_loss 0.01819
Epoch[13/20] Iter[550/696] : train_loss 0.01824
Epoch[13/20] Iter[600/696] : train_loss 0.01823
Epoch[13/20] Iter[650/696] : train_loss 0.01820
== Epoch [13/20]: train_loss 0.01821, val_loss 0.02703, val_f1 0.48580 
Epoch[14/20] Iter[50/696] : train_loss 0.01857
Epoch[14/20] Iter[100/696] : train_loss 0.01796
Epoch[14/20] Iter[150/696] : train_loss 0.01796
Epoch[14/20] Iter[200/696] : train_loss 0.01796
Epoch[14/20] Iter[250/696] : train_loss 0.01799
Epoch[14/20] Iter[300/696] : train_loss 0.01799
Epoch[14/20] Iter[350/696] : train_loss 0.01795
Epoch[14/20] Iter[400/696] : train_loss 0.01784
Epoch[14/20] Iter[450/696] : train_loss 0.01787
Epoch[14/20] Iter[500/696] : train_loss 0.01781
Epoch[14/20] Iter[550/696] : train_loss 0.01779
Epoch[14/20] Iter[600/696] : train_loss 0.01782
Epoch[14/20] Iter[650/696] : train_loss 0.01781
== Epoch [14/20]: train_loss 0.01780, val_loss 0.02474, val_f1 0.50818 
== Saving Best F1 Model 
Epoch[15/20] Iter[50/696] : train_loss 0.01663
Epoch[15/20] Iter[100/696] : train_loss 0.01670
Epoch[15/20] Iter[150/696] : train_loss 0.01703
Epoch[15/20] Iter[200/696] : train_loss 0.01722
Epoch[15/20] Iter[250/696] : train_loss 0.01728
Epoch[15/20] Iter[300/696] : train_loss 0.01732
Epoch[15/20] Iter[350/696] : train_loss 0.01720
Epoch[15/20] Iter[400/696] : train_loss 0.01719
Epoch[15/20] Iter[450/696] : train_loss 0.01717
Epoch[15/20] Iter[500/696] : train_loss 0.01718
Epoch[15/20] Iter[550/696] : train_loss 0.01724
Epoch[15/20] Iter[600/696] : train_loss 0.01722
